Angelina Johnson,AngelinaJohnson@hogwarts.edu,No,Yes
Lee Jordan,LeeJordan@hogwarts.edu,No,Yes
Andrw Kirke,AndrwKirke@hogwarts.edu,No,Yes
Viktor Krum,ViktorKrum@hogwarts.edu,No,Yes
Neville Longbottom,NevilleLongbottom@hogwarts.edu,No,Yes
Luna Lovegood,LunaLovegood@hogwarts.edu,No,Yes
Morag MacDougal,MoragMacDougal@hogwarts.edu,No,Yes
Ernie Macmillan,ErnieMacmillan@hogwarts.edu,No,Yes
Laura Madley,LauraMadley@hogwarts.edu,No,Yes
Draco Malfoy,DracoMalfoy@hogwarts.edu,No,Yes
Natalie McDonald,NatalieMcDonald@hogwarts.edu,No,Yes
Eloise Midgen,EloiseMidgen@hogwarts.edu,No,Yes
Alfus Montague,AlfusMontague@hogwarts.edu,No,Yes
Livia Moon,LiviaMoon@hogwarts.edu,No,Yes
Theodore Nott,TheodoreNott@hogwarts.edu,No,Yes
Pansy Parkinson,PansyParkinson@hogwarts.edu,No,Yes
Parvati Patil,ParvatiPatil@hogwarts.edu,No,Yes
Padma Patil,PadmaPatil@hogwarts.edu,No,Yes
Sally-Anne Perks,Sally-AnnePerks@hogwarts.edu,No,Yes
Colin Poliakoff,ColinPoliakoff@hogwarts.edu,No,Yes
Harry James Potter,HarryJamesPotter@hogwarts.edu,No,Yes
Graham Pritchard,GrahamPritchard@hogwarts.edu,No,Yes
Adrian Pucey,AdrianPucey@hogwarts.edu,No,Yes
Orla Quirke,OrlaQuirke@hogwarts.edu,No,Yes
Zacharias Smith,ZachariasSmith@hogwarts.edu,No,Yes
Jack Sloper,JackSloper@hogwarts.edu,No,Yes
Alicia Spinnet,AliciaSpinnet@hogwarts.edu,No,Yes
Ruben Stebbins,RubenStebbins@hogwarts.edu,No,Yes
Patricia Stimpson,PatriciaStimpson@hogwarts.edu,No,Yes
Heather Summerby,HeatherSummerby@hogwarts.edu,No,Yes
PG Summers,PGSummers@hogwarts.edu,No,Yes
Dean Thomas,DeanThomas@hogwarts.edu,No,Yes
Kenneth Towler,KennethTowler@hogwarts.edu,No,Yes
Lisa Turpin,LisaTurpin@hogwarts.edu,No,Yes
Barry Warrington,BarryWarrington@hogwarts.edu,No,Yes
Ronald Weasley,RonaldWeasley@hogwarts.edu,No,Yes
Fred and George Weasley,FredandGeorgeWeasley@hogwarts.edu,No,Yes
Ginny Weasley,GinnyWeasley@hogwarts.edu,No,Yes
Percy Ignatius Weasley,PercyIgnatiusWeasley@hogwarts.edu,No,Yes
Kevin Whitby,KevinWhitby@hogwarts.edu,No,Yes
Oliver Wood,OliverWood@hogwarts.edu,No,Yes
Blaise Zabini,BlaiseZabini@hogwarts.edu,No,Yes
Rose Zeller,RoseZeller@hogwarts.edu,No,Yes
Dilys Derwent,DilysDerwent@hogwarts.edu,No,Yes
Dobby Dobbins,DobbyDobbins@hogwarts.edu,No,Yes
Magorian Century,MagorianCentury@hogwarts.edu,No,Yes
Ronan James,RonanJames@hogwarts.edu,No,Yes
Yvonne Lacey,YvonneLacey@hogwarts.edu,No,Yes
Ludovic Bagman,LudovicBagman@hogwarts.edu,No,Yes
Millicent Bagnold,MillicentBagnold@hogwarts.edu,No,Yes
Ali Bashir,AliBashir@hogwarts.edu,No,Yes
Hetty Bayliss,HettyBayliss@hogwarts.edu,No,Yes
Stubby Boardman,StubbyBoardman@hogwarts.edu,No,Yes
Frank Bryce,FrankBryce@hogwarts.edu,No,Yes
Elfrida Cragg,ElfridaCragg@hogwarts.edu,No,Yes
Bartemius Crouch,BartemiusCrouch@hogwarts.edu,No,Yes
Doris Crockford,DorisCrockford@hogwarts.edu,No,Yes
Dedalus Diggle,DedalusDiggle@hogwarts.edu,No,Yes
Mary Dorkins,MaryDorkins@hogwarts.edu,No,Yes
Aberforth Dumbledore,AberforthDumbledore@hogwarts.edu,No,Yes
Dudley Dursley,DudleyDursley@hogwarts.edu,No,Yes
Marjorie Dursley,MarjorieDursley@hogwarts.edu,No,Yes
Vernon Dursley,VernonDursley@hogwarts.edu,No,Yes
Petunia Dursley,PetuniaDursley@hogwarts.edu,No,Yes
Mark Evans,MarkEvans@hogwarts.edu,No,Yes
Arabella Doreen Figg,ArabellaDoreenFigg@hogwarts.edu,No,Yes
Benjy Fenwick,BenjyFenwick@hogwarts.edu,No,Yes
Nicolas Flamel,NicolasFlamel@hogwarts.edu,No,Yes
Perenell Flamel,PerenellFlamel@hogwarts.edu,No,Yes
Mundungus Fletcher,MundungusFletcher@hogwarts.edu,No,Yes
Fortescue Fletcher,FortescueFletcher@hogwarts.edu,No,Yes
Florean Fortescue,FloreanFortescue@hogwarts.edu,No,Yes
Cornelius Oswald Fudge,CorneliusOswaldFudge@hogwarts.edu,No,Yes
Gladys Gudgeon,GladysGudgeon@hogwarts.edu,No,Yes
Alberic Grunnion,AlbericGrunnion@hogwarts.edu,No,Yes
Warty Harris,WartyHarris@hogwarts.edu,No,Yes
Olive Hornby,OliveHornby@hogwarts.edu,No,Yes
Inigo Imago,InigoImago@hogwarts.edu,No,Yes
Hestia Jones,HestiaJones@hogwarts.edu,No,Yes
Bertha Jorkins,BerthaJorkins@hogwarts.edu,No,Yes
Rodolphus Lestrange,RodolphusLestrange@hogwarts.edu,No,Yes
Bellatrix Lestrange,BellatrixLestrange@hogwarts.edu,No,Yes
Rabastan Lestrange,RabastanLestrange@hogwarts.edu,No,Yes
Dai Llewellyn,DaiLlewellyn@hogwarts.edu,No,Yes
Alice Longbottom,AliceLongbottom@hogwarts.edu,No,Yes
Aidan Lynch,AidanLynch@hogwarts.edu,No,Yes
Frank Longbottom,FrankLongbottom@hogwarts.edu,No,Yes
Lucius Malfoy,LuciusMalfoy@hogwarts.edu,No,Yes
Walden Macnair,WaldenMacnair@hogwarts.edu,No,Yes
Mary Malkin,MaryMalkin@hogwarts.edu,No,Yes
Narcissa Malfoy,NarcissaMalfoy@hogwarts.edu,No,Yes
Jim McGuffin,JimMcGuffin@hogwarts.edu,No,Yes
Griselda Marchbanks,GriseldaMarchbanks@hogwarts.edu,No,Yes
Merry McKinnon,MerryMcKinnon@hogwarts.edu,No,Yes
Araminta Meliflua,AramintaMeliflua@hogwarts.edu,No,Yes
Dorcas Meadowes,DorcasMeadowes@hogwarts.edu,No,Yes
Veritas Moran,VeritasMoran@hogwarts.edu,No,Yes
Cuthbert Mockbridge,CuthbertMockbridge@hogwarts.edu,No,Yes
Hassan Mostafa,HassanMostafa@hogwarts.edu,No,Yes
Z Nettles,ZNettles@hogwarts.edu,No,Yes
Eric Munch,EricMunch@hogwarts.edu,No,Yes
Phineas Nigellus,PhineasNigellus@hogwarts.edu,No,Yes
Rufus Obalonsky,RufusObalonsky@hogwarts.edu,No,Yes
Rupert Ollivander,RupertOllivander@hogwarts.edu,No,Yes
Tiberius Ogden,TiberiusOgden@hogwarts.edu,No,Yes
Arnold Peasegood,ArnoldPeasegood@hogwarts.edu,No,Yes
Peter Pettigrew,PeterPettigrew@hogwarts.edu,No,Yes
Sturgis Podmore,SturgisPodmore@hogwarts.edu,No,Yes
Piers Polkiss,PiersPolkiss@hogwarts.edu,No,Yes
James Potter,JamesPotter@hogwarts.edu,No,Yes
Roddy Pontner,RoddyPontner@hogwarts.edu,No,Yes
Ernie Prang,ErniePrang@hogwarts.edu,No,Yes
Lily Potter,LilyPotter@hogwarts.edu,No,Yes
Apollyon Pringle,ApollyonPringle@hogwarts.edu,No,Yes
Gideon Prewett,GideonPrewett@hogwarts.edu,No,Yes
Augustus Pye,AugustusPye@hogwarts.edu,No,Yes
Rowena Ravenclaw,RowenaRavenclaw@hogwarts.edu,No,Yes
Salazar Slytherin,SalazarSlytherin@hogwarts.edu,No,Yes
Helga Hufflepuff,HelgaHufflepuff@hogwarts.edu,No,Yes
